debug 2025/11/23 13:43:00 cursor: 18; firstVis: 0; vl_firstVis: 3
debug 2025/11/23 13:43:31 cursor: 18; firstVis: 0; vl_firstVis: 4
debug 2025/11/23 13:46:44 cursor: 18; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:46:45 cursor: 18; firstVis: -1; vl_firstVis: -1
debug 2025/11/23 13:46:46 cursor: 18; firstVis: -3; vl_firstVis: -3
debug 2025/11/23 13:46:46 cursor: 18; firstVis: -4; vl_firstVis: -4
debug 2025/11/23 13:46:47 cursor: 18; firstVis: -5; vl_firstVis: -5
debug 2025/11/23 13:46:47 cursor: 18; firstVis: -6; vl_firstVis: -6
debug 2025/11/23 13:46:47 cursor: 18; firstVis: -7; vl_firstVis: -7
debug 2025/11/23 13:46:48 cursor: 18; firstVis: -8; vl_firstVis: -8
debug 2025/11/23 13:46:48 cursor: 18; firstVis: -6; vl_firstVis: -6
debug 2025/11/23 13:46:49 cursor: 18; firstVis: -4; vl_firstVis: -4
debug 2025/11/23 13:46:49 cursor: 18; firstVis: -3; vl_firstVis: -3
debug 2025/11/23 13:46:49 cursor: 18; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:46:50 cursor: 18; firstVis: 2; vl_firstVis: 2
debug 2025/11/23 13:46:50 cursor: 18; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 13:46:52 cursor: 18; firstVis: 4; vl_firstVis: 4
debug 2025/11/23 13:46:53 cursor: 18; firstVis: 6; vl_firstVis: 6
debug 2025/11/23 13:46:53 cursor: 18; firstVis: 7; vl_firstVis: 7
debug 2025/11/23 13:46:53 cursor: 18; firstVis: 5; vl_firstVis: 5
debug 2025/11/23 13:46:53 cursor: 18; firstVis: 3; vl_firstVis: 3
debug 2025/11/23 13:46:54 cursor: 18; firstVis: 2; vl_firstVis: 2
debug 2025/11/23 13:46:54 cursor: 18; firstVis: 1; vl_firstVis: 1
debug 2025/11/23 13:46:55 cursor: 18; firstVis: 0; vl_firstVis: 0
debug 2025/11/23 13:46:55 cursor: 18; firstVis: -2; vl_firstVis: -2
debug 2025/11/23 13:46:55 cursor: 18; firstVis: -3; vl_firstVis: -3
debug 2025/11/23 13:46:56 cursor: 18; firstVis: -5; vl_firstVis: -5
